 time            v(vspike)      
 1.90074511e-02  6.81580908e-05 
 1.90320725e-02 -6.83586591e-05 
 1.90648191e-02  6.85531096e-05 
 1.91157878e-02 -6.83446184e-05 
 1.91704038e-02  6.81604057e-05 
 1.92251999e-02 -6.81597233e-05 
 1.92823505e-02  6.86807308e-05 
 1.93594068e-02 -6.92268615e-05 
 1.94472311e-02  6.90989806e-05 
 1.95318931e-02 -6.84487581e-05 
 1.96318931e-02  6.82434110e-05 
 1.97318931e-02 -6.81457577e-05 
 1.98318931e-02  6.83839607e-05 
 1.99087209e-02 -6.81470130e-05 
 1.99717549e-02  6.79980949e-05 
 2.00348383e-02 -6.81772766e-05 
 2.00801893e-02  6.84733483e-05 
 2.01147544e-02 -6.82798824e-05 
 2.01356484e-02  6.81398423e-05 
 2.01533243e-02 -6.79021883e-05 
 2.01693478e-02  6.79285660e-05 
 2.01811813e-02 -6.78749049e-05 
 2.01934794e-02  6.79295807e-05 
 2.02060912e-02 -6.78174514e-05 
 2.02192228e-02  6.78333697e-05 
 2.02332268e-02 -6.77225241e-05 
 2.02566593e-02  6.78327404e-05 
 2.02778679e-02 -6.79345418e-05 
 2.02931568e-02  6.81279461e-05 
 2.03087461e-02 -6.81516957e-05 
 2.03219243e-02  6.82165568e-05 
 2.03344465e-02 -6.81105152e-05 
 2.03549702e-02  6.81226167e-05 
 2.03756671e-02 -6.81052407e-05 
 2.03904640e-02  6.82994118e-05 
 2.04045192e-02 -6.84031316e-05 
 2.04189768e-02  6.85391455e-05 
 2.04338040e-02 -6.84506609e-05 
 2.04483702e-02  6.84488760e-05 
 2.04660057e-02 -6.82643247e-05 
 2.04843966e-02  6.81808587e-05 
 2.04969786e-02 -6.79682528e-05 
 2.05092463e-02  6.79371244e-05 
 2.05284863e-02 -6.77679169e-05 
 2.05493700e-02  6.78057737e-05 
 2.05747491e-02 -6.77748643e-05 
 2.05934365e-02  6.78642990e-05 
 2.06117753e-02 -6.77617354e-05 
 2.06252470e-02  6.77926620e-05 
 2.06376645e-02 -6.77134090e-05 
 2.06510902e-02  6.77733792e-05 
 2.06641783e-02 -6.76884358e-05 
 2.06741902e-02  6.77474149e-05 
 2.06840974e-02 -6.76875445e-05 
 2.06961227e-02  6.77932471e-05 
 2.07070062e-02 -6.77935397e-05 
 2.07287734e-02  6.79705383e-05 
 2.07596938e-02 -6.80351211e-05 
 2.08050247e-02  6.80859722e-05 
 2.08529318e-02 -6.76791071e-05 
 2.08766345e-02  6.75833434e-05 
 2.09008000e-02 -6.75288909e-05 
 2.09212457e-02  6.77950979e-05 
 2.09417360e-02 -6.80791827e-05 
 2.09660974e-02  6.84722842e-05 
 2.09954260e-02 -6.86117744e-05 
 2.10238586e-02  6.86920593e-05 
 2.10676737e-02 -6.84318544e-05 
 2.11025650e-02  6.82858578e-05 
 2.11634078e-02 -6.79727721e-05 
 2.12507939e-02  6.82764655e-05 
 2.13214139e-02 -6.86615375e-05 
 2.14040235e-02  6.92027597e-05 
 2.14653619e-02 -6.94513744e-05 
 2.15307300e-02  6.89379842e-05 
 2.15936197e-02 -6.79491262e-05 
 2.16563504e-02  6.75855025e-05 
 2.17219371e-02 -6.76861197e-05 
 2.17853238e-02  6.83655343e-05 
 2.18502787e-02 -6.89071317e-05 
 2.19502787e-02  6.95644899e-05 
 2.20502787e-02 -6.90779204e-05 
 2.21437010e-02  6.82157206e-05 
 2.22228156e-02 -6.80084181e-05 
 2.23006652e-02  6.83296527e-05 
 2.23617840e-02 -6.80126109e-05 
 2.24267338e-02  6.76203786e-05 
 2.24871758e-02 -6.73600194e-05 
 2.25576355e-02  6.72876584e-05 
 2.26099696e-02 -6.72507591e-05 
 2.26609720e-02  6.75396280e-05 
 2.27230372e-02 -6.79073862e-05 
 2.28144404e-02  6.89621023e-05 
 2.28679311e-02 -6.90546944e-05 
 2.29167247e-02  6.87246204e-05 
 2.29776805e-02 -6.84663311e-05 
 2.30415969e-02  6.89942599e-05 
 2.31415969e-02 -7.02556696e-05 
 2.32086904e-02  6.99969399e-05 
