 time            v(vin)          v(vmem)        
 6.96917673e-03  9.47980203e-01  3.11737483e-03 
 6.98522928e-03  8.52720616e-01  3.12578593e-03 
 6.99113798e-03  8.44599401e-01  3.26780947e-03 
 6.99304577e-03  8.41977244e-01  4.19524657e-03 
 6.99373181e-03  8.41034318e-01  4.09995933e-03 
 6.99441166e-03  8.40099899e-01  4.18138128e-03 
 6.99459429e-03  8.39848873e-01  4.19723228e-03 
 6.99464609e-03  8.39777686e-01  4.20131478e-03 
 6.99466919e-03  8.39745934e-01  4.20306083e-03 
 6.99469334e-03  8.39712742e-01  4.20488163e-03 
 6.99471991e-03  8.39676224e-01  4.20680887e-03 
 6.99477305e-03  8.39603186e-01  4.21057533e-03 
 6.99485714e-03  8.39487597e-01  4.21613995e-03 
 6.99499209e-03  8.39302119e-01  4.22423268e-03 
 6.99523515e-03  8.38968044e-01  4.23624972e-03 
 6.99572127e-03  8.38299894e-01  4.25206965e-03 
 6.99669352e-03  8.36963594e-01  4.25654346e-03 
 6.99863801e-03  8.34290993e-01  4.23396585e-03 
 7.00056025e-03  8.29684574e-01  4.22277636e-03 
 7.00338941e-03  8.15876133e-01  4.21277082e-03 
 7.00544129e-03  8.05861437e-01  4.20799679e-03 
 7.00765017e-03  7.95080446e-01  4.20415292e-03 
 7.01206793e-03  7.73518466e-01  4.19873570e-03 
 7.02090345e-03  7.42948612e-01  4.19307194e-03 
 7.02955351e-03  8.20929347e-01  4.19090212e-03 
 7.03767376e-03  8.94133814e-01  4.19029053e-03 
 7.05293783e-03  1.06517925e+00  4.19102761e-03 
 7.06372264e-03  1.08612477e+00  4.19249134e-03 
 7.07304759e-03  9.33390890e-01  4.19404156e-03 
 7.08257358e-03  8.07341137e-01  4.19585184e-03 
 7.09948143e-03  7.27348415e-01  4.19931154e-03 
 7.10826182e-03  8.01141649e-01  4.20123834e-03 
 7.11741556e-03  8.85619751e-01  4.20325832e-03 
 7.12703704e-03  8.81256353e-01  4.20545321e-03 
 7.13679104e-03  8.42148163e-01  4.20767262e-03 
 7.14828380e-03  8.86820889e-01  4.21035330e-03 
 7.16050435e-03  9.67762693e-01  4.21319329e-03 
 7.17501215e-03  9.55154689e-01  4.21662212e-03 
 7.18944376e-03  9.32432990e-01  4.22001157e-03 
 7.20633209e-03  8.48997866e-01  4.22402855e-03 
 7.22431559e-03  7.58971126e-01  4.22828167e-03 
 7.23417366e-03  8.63374958e-01  4.23064226e-03 
 7.24417616e-03  8.78839261e-01  4.23300331e-03 
 7.25177980e-03  7.94647537e-01  4.23482686e-03 
 7.25924844e-03  7.11950653e-01  4.23658611e-03 
 7.26491665e-03  7.51083532e-01  4.23795222e-03 
 7.27088614e-03  8.08699834e-01  4.23935699e-03 
 7.28223043e-03  9.05255827e-01  4.24207515e-03 
 7.29629011e-03  9.59408812e-01  4.24540341e-03 
 7.31099690e-03  9.39317304e-01  4.24892181e-03 
 7.32486764e-03  8.93690780e-01  4.25220826e-03 
 7.34399441e-03  8.87033654e-01  4.25677946e-03 
 7.36082158e-03  1.07598591e+00  4.26077090e-03 
 7.37659723e-03  1.03550716e+00  4.26454565e-03 
 7.39503770e-03  9.10931563e-01  4.26892369e-03 
 7.41397141e-03  9.82466177e-01  4.27345253e-03 
 7.43288162e-03  9.59755838e-01  4.27794065e-03 
 7.46464096e-03  8.70998273e-01  4.28552258e-03 
