 time            v(vin)          v(vdata)       
 5.60605512e-03  9.74148540e-01  2.10998654e+00 
 5.67103366e-03  1.05105370e+00  2.12999369e+00 
 5.73134406e-03  9.63338311e-01  2.15144516e+00 
 5.79248835e-03  8.99192105e-01  2.13694443e+00 
 5.85029850e-03  9.72512865e-01  2.10721544e+00 
 5.90416339e-03  1.07905337e+00  2.10960536e+00 
 5.95606620e-03  1.12264101e+00  2.14488207e+00 
 6.01460644e-03  1.17154052e+00  2.19146534e+00 
 6.04834809e-03  1.03183721e+00  2.20684315e+00 
 6.08379726e-03  9.82709273e-01  2.20085129e+00 
 6.11795823e-03  1.13865576e+00  2.18363467e+00 
 6.14964518e-03  9.85144402e-01  2.17030005e+00 
 6.17665111e-03  8.34358420e-01  2.15465332e+00 
 6.20504556e-03  6.98305439e-01  2.12799668e+00 
 6.22460392e-03  8.89209768e-01  2.10600653e+00 
 6.24821306e-03  9.11584686e-01  2.08011846e+00 
 6.27634901e-03  8.48528327e-01  2.05310678e+00 
 6.30541395e-03  9.06029414e-01  2.03080031e+00 
 6.34329183e-03  8.99628234e-01  2.01586501e+00 
 6.41904761e-03  9.58085181e-01  2.02734626e+00 
 6.49668931e-03  9.93396506e-01  2.06681317e+00 
 6.56485287e-03  9.42124297e-01  2.08875110e+00 
 6.63390380e-03  9.46842529e-01  2.08310955e+00 
 6.73390380e-03  8.95227408e-01  2.06020374e+00 
 6.83390380e-03  8.66213915e-01  2.03747009e+00 
 6.93390380e-03  8.87552379e-01  2.03397742e+00 
 6.96917673e-03  9.47980203e-01  2.04477416e+00 
 6.98522928e-03  8.52720616e-01  2.05148652e+00 
 6.99113798e-03  8.44599401e-01  2.05339609e+00 
 6.99304577e-03  8.41977244e-01  2.05386069e+00 
 6.99373181e-03  8.41034318e-01  2.05401021e+00 
 6.99441166e-03  8.40099899e-01  2.05414953e+00 
 6.99459429e-03  8.39848873e-01  2.05418541e+00 
 6.99464609e-03  8.39777686e-01  2.05419551e+00 
 6.99466919e-03  8.39745934e-01  2.05419996e+00 
 6.99469334e-03  8.39712742e-01  2.05420464e+00 
 6.99471991e-03  8.39676224e-01  2.05420975e+00 
 6.99477305e-03  8.39603186e-01  2.05421997e+00 
 6.99485714e-03  8.39487597e-01  2.05423600e+00 
 6.99499209e-03  8.39302119e-01  2.05426147e+00 
 6.99523515e-03  8.38968044e-01  2.05430644e+00 
 6.99572127e-03  8.38299894e-01  2.05439309e+00 
 6.99669352e-03  8.36963594e-01  2.05455314e+00 
 6.99863801e-03  8.34290993e-01  2.05482134e+00 
 7.00056025e-03  8.29684574e-01  2.05501948e+00 
 7.00338941e-03  8.15876133e-01  2.05518882e+00 
 7.00544129e-03  8.05861437e-01  2.05521707e+00 
 7.00765017e-03  7.95080446e-01  2.05515384e+00 
 7.01206793e-03  7.73518466e-01  2.05472508e+00 
 7.02090345e-03  7.42948612e-01  2.05266750e+00 
 7.02955351e-03  8.20929347e-01  2.04951310e+00 
 7.03767376e-03  8.94133814e-01  2.04660340e+00 
 7.05293783e-03  1.06517925e+00  2.04567150e+00 
 7.06372264e-03  1.08612477e+00  2.04987311e+00 
 7.07304759e-03  9.33390890e-01  2.05601761e+00 
 7.08257358e-03  8.07341137e-01  2.06211136e+00 
 7.09948143e-03  7.27348415e-01  2.06681674e+00 
